妖精小姐,"Map174.json,events,2,name"
\C[27]清香,"Map174.json,events,3,pages,0,list,13,parameters,0"
「这里没有人」,"Map174.json,events,3,pages,0,list,14,parameters,0"
\C[27]清香,"Map174.json,events,3,pages,0,list,21,parameters,0"
「只要打破这个窗户……就能立刻出去了！」,"Map174.json,events,3,pages,0,list,22,parameters,0"
阳光炽热，海水反射得耀眼。,"Map174.json,events,3,pages,0,list,24,parameters,0"
如果是晚上的话，可能就无法逃脱了。,"Map174.json,events,3,pages,0,list,25,parameters,0"
白天出来真是幸运。,"Map174.json,events,3,pages,0,list,26,parameters,0"
菲雅,"Map174.json,events,3,pages,0,list,29,parameters,0"
「等等，清香！,"Map174.json,events,3,pages,0,list,30,parameters,0"
我们现在是在海上」,"Map174.json,events,3,pages,0,list,31,parameters,0"
菲雅,"Map174.json,events,3,pages,0,list,35,parameters,0"
「盲目地出去的话，我们可能都会遇难。,"Map174.json,events,3,pages,0,list,36,parameters,0"
找到地图或者指南针……。,"Map174.json,events,3,pages,0,list,37,parameters,0"
如果实在不行，立刻逃跑可能是最好的选择」,"Map174.json,events,3,pages,0,list,38,parameters,0"
\C[27]清香,"Map174.json,events,3,pages,0,list,41,parameters,0"
「确实……可能是这样」,"Map174.json,events,3,pages,0,list,42,parameters,0"
虽然两个人都可以飞来飞去，,"Map174.json,events,3,pages,0,list,44,parameters,0"
但盲目地出海还是很危险的。,"Map174.json,events,3,pages,0,list,45,parameters,0"
虽然这个身体的能力非常强大，但毕竟还是个小女孩。,"Map174.json,events,3,pages,0,list,46,parameters,0"
就算能飞，能飞多远还是个未知数。,"Map174.json,events,3,pages,0,list,47,parameters,0"
因此，有必要了解当前位置。,"Map174.json,events,3,pages,0,list,49,parameters,0"
如果情况变得无法应对，就逃到海上。,"Map174.json,events,3,pages,0,list,50,parameters,0"
控制好船只也是一个选择……不，这太危险了。,"Map174.json,events,3,pages,0,list,51,parameters,0"
不知道有多少人在船上。,"Map174.json,events,3,pages,0,list,52,parameters,0"
\C[27]清香,"Map174.json,events,3,pages,0,list,54,parameters,0"
「我们悄悄地前进。,"Map174.json,events,3,pages,0,list,55,parameters,0"
如果发生战斗……我会想办法应对」,"Map174.json,events,3,pages,0,list,56,parameters,0"
菲雅,"Map174.json,events,3,pages,0,list,59,parameters,0"
「……嗯，对不起，清香。,"Map174.json,events,3,pages,0,list,60,parameters,0"
请多多关照」,"Map174.json,events,3,pages,0,list,61,parameters,0"
\C[27]清香,"Map174.json,events,3,pages,0,list,63,parameters,0"
「没关系。,"Map174.json,events,3,pages,0,list,64,parameters,0"
我已经习惯战斗了」,"Map174.json,events,3,pages,0,list,65,parameters,0"
菲雅,"Map174.json,events,4,pages,0,list,1,parameters,0"
「清香，我听到那边有人的声音。,"Map174.json,events,4,pages,0,list,2,parameters,0"
我们去对面看看」,"Map174.json,events,4,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,4,pages,0,list,5,parameters,0"
「是吗？菲雅你的听力真好。,"Map174.json,events,4,pages,0,list,6,parameters,0"
那就试试看！」,"Map174.json,events,4,pages,0,list,7,parameters,0"
菲雅,"Map174.json,events,4,pages,0,list,9,parameters,0"
「（虽然刚认识，但清香有时候,"Map174.json,events,4,pages,0,list,10,parameters,0"
显得成熟，有时候又像个孩子……,"Map174.json,events,4,pages,0,list,11,parameters,0"
她是这样的性格吗？）」,"Map174.json,events,4,pages,0,list,12,parameters,0"
菲雅,"Map174.json,events,5,pages,0,list,1,parameters,0"
「清香，我听到那边有人的声音。,"Map174.json,events,5,pages,0,list,2,parameters,0"
我们去对面看看」,"Map174.json,events,5,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,5,pages,0,list,5,parameters,0"
「是吗？菲雅你的听力真好。,"Map174.json,events,5,pages,0,list,6,parameters,0"
那就试试看！」,"Map174.json,events,5,pages,0,list,7,parameters,0"
菲雅,"Map174.json,events,5,pages,0,list,9,parameters,0"
「（虽然刚认识，但清香有时候,"Map174.json,events,5,pages,0,list,10,parameters,0"
显得成熟，有时候又像个孩子……,"Map174.json,events,5,pages,0,list,11,parameters,0"
她是这样的性格吗？）」,"Map174.json,events,5,pages,0,list,12,parameters,0"
\C[27]清香,"Map174.json,events,6,pages,0,list,1,parameters,0"
「闻到了鱼的味道。,"Map174.json,events,6,pages,0,list,2,parameters,0"
嗅嗅……都是加工过的吗？」,"Map174.json,events,6,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,7,pages,0,list,1,parameters,0"
「什么都没有」,"Map174.json,events,7,pages,0,list,2,parameters,0"
\C[27]清香,"Map174.json,events,8,pages,0,list,1,parameters,0"
「这种干燥的独特气味是大米吗……？」,"Map174.json,events,8,pages,0,list,2,parameters,0"
\C[27]清香,"Map174.json,events,9,pages,0,list,1,parameters,0"
「这种干燥的独特气味是大米吗……？」,"Map174.json,events,9,pages,0,list,2,parameters,0"
\C[27]清香,"Map174.json,events,10,pages,0,list,1,parameters,0"
「看起来很甜的胡萝卜。,"Map174.json,events,10,pages,0,list,2,parameters,0"
……可以吃吗？」,"Map174.json,events,10,pages,0,list,3,parameters,0"
菲雅,"Map174.json,events,11,pages,0,list,1,parameters,0"
「能听到许多人的呼吸声……。,"Map174.json,events,11,pages,0,list,2,parameters,0"
静静地走吧，清香酱」,"Map174.json,events,11,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,11,pages,0,list,5,parameters,0"
「嗯」,"Map174.json,events,11,pages,0,list,6,parameters,0"
菲雅,"Map174.json,events,12,pages,0,list,1,parameters,0"
「能听到许多人的呼吸声……。,"Map174.json,events,12,pages,0,list,2,parameters,0"
静静地走吧，清香酱」,"Map174.json,events,12,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,12,pages,0,list,5,parameters,0"
「嗯」,"Map174.json,events,12,pages,0,list,6,parameters,0"
菲雅,"Map174.json,events,13,pages,0,list,1,parameters,0"
「能听到许多人的呼吸声……。,"Map174.json,events,13,pages,0,list,2,parameters,0"
静静地走吧，清香酱」,"Map174.json,events,13,pages,0,list,3,parameters,0"
\C[27]清香,"Map174.json,events,13,pages,0,list,5,parameters,0"
「嗯」,"Map174.json,events,13,pages,0,list,6,parameters,0"
