大妖狐とですわ姫,"Map257.json,events,1,name"
店长,"Map257.json,events,3,name"
店长,"Map257.json,events,5,pages,0,list,10,parameters,0"
「真是太棒了」,"Map257.json,events,5,pages,0,list,11,parameters,0"
疲惫不堪地回家，想要质问却趴在桌子上。,"Map257.json,events,5,pages,0,list,14,parameters,0"
淫魔的身体能力虽然很棒,"Map257.json,events,5,pages,0,list,15,parameters,0"
但体力是另一个问题……。,"Map257.json,events,5,pages,0,list,16,parameters,0"
但是……现在，如果不问就无法入睡。,"Map257.json,events,5,pages,0,list,17,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,19,parameters,0"
「为什么要偷偷放进去那种东西……」,"Map257.json,events,5,pages,0,list,20,parameters,0"
店长,"Map257.json,events,5,pages,0,list,22,parameters,0"
「不偷偷放进去的话你就不会带走了吧？,"Map257.json,events,5,pages,0,list,23,parameters,0"
而且那个东西考虑到未来是必要的」,"Map257.json,events,5,pages,0,list,24,parameters,0"
店长,"Map257.json,events,5,pages,0,list,27,parameters,0"
「也许，同样的事情会再次发生。,"Map257.json,events,5,pages,0,list,28,parameters,0"
现在岛上没有导致淫魔化的水晶了,"Map257.json,events,5,pages,0,list,29,parameters,0"
但是从外部进来的可能性也存在」,"Map257.json,events,5,pages,0,list,30,parameters,0"
店长,"Map257.json,events,5,pages,0,list,32,parameters,0"
「破魔之剑已经没有了。,"Map257.json,events,5,pages,0,list,33,parameters,0"
……那么，就需要用其他方法来击败淫魔」,"Map257.json,events,5,pages,0,list,34,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,36,parameters,0"
「……那个箱子里面就是吗？」,"Map257.json,events,5,pages,0,list,37,parameters,0"
店长,"Map257.json,events,5,pages,0,list,39,parameters,0"
「对。\!,"Map257.json,events,5,pages,0,list,40,parameters,0"
那个东西像媚药一样对淫魔和前淫魔起作用。,"Map257.json,events,5,pages,0,list,41,parameters,0"
对人类和其他魔物娘没有效果……明白吧」,"Map257.json,events,5,pages,0,list,42,parameters,0"
店长,"Map257.json,events,5,pages,0,list,44,parameters,0"
「我一个人做不到……」,"Map257.json,events,5,pages,0,list,45,parameters,0"
女,"Map257.json,events,5,pages,0,list,50,parameters,0"
「你好～♪」,"Map257.json,events,5,pages,0,list,51,parameters,0"
店长,"Map257.json,events,5,pages,0,list,55,parameters,0"
「欢迎光临女士。,"Map257.json,events,5,pages,0,list,56,parameters,0"
不，是……\.\.大妖狐小姐」,"Map257.json,events,5,pages,0,list,57,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,76,parameters,0"
「（大妖狐……！？,"Map257.json,events,5,pages,0,list,77,parameters,0"
那个山上的魔物娘……？）」,"Map257.json,events,5,pages,0,list,78,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,82,parameters,0"
「（大妖狐……！？,"Map257.json,events,5,pages,0,list,83,parameters,0"
从名字可以推测出，是个很强大的魔物娘……！？）」,"Map257.json,events,5,pages,0,list,84,parameters,0"
店长,"Map257.json,events,5,pages,0,list,88,parameters,0"
「让我介绍一下，清彦君。,"Map257.json,events,5,pages,0,list,89,parameters,0"
这位是大妖狐小姐，统治着这个岛的魔物娘之一。,"Map257.json,events,5,pages,0,list,90,parameters,0"
其他两个我没有见过……」,"Map257.json,events,5,pages,0,list,91,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,95,parameters,0"
「首先我要恢复原样♪变～身♪」,"Map257.json,events,5,pages,0,list,96,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,102,parameters,0"
“你好，清彦君。,"Map257.json,events,5,pages,0,list,103,parameters,0"
没想到你竟然救了世界……真厉害♪”,"Map257.json,events,5,pages,0,list,104,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,106,parameters,0"
“哪里……没什么了不起的。”,"Map257.json,events,5,pages,0,list,107,parameters,0"
店长,"Map257.json,events,5,pages,0,list,109,parameters,0"
“你们两个认识吗？”,"Map257.json,events,5,pages,0,list,110,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,114,parameters,0"
“我曾经去过她家做客。,"Map257.json,events,5,pages,0,list,115,parameters,0"
虽然拒绝了她的请求，然后就回来了……”,"Map257.json,events,5,pages,0,list,116,parameters,0"
店长,"Map257.json,events,5,pages,0,list,118,parameters,0"
“原来如此……话题转回来吧。”,"Map257.json,events,5,pages,0,list,119,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,123,parameters,0"
“初次见面，清彦君。,"Map257.json,events,5,pages,0,list,124,parameters,0"
听说了很多关于你的事情。,"Map257.json,events,5,pages,0,list,125,parameters,0"
居然救了世界！”,"Map257.json,events,5,pages,0,list,126,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,128,parameters,0"
“哪里……没什么了不起的。”,"Map257.json,events,5,pages,0,list,129,parameters,0"
店长,"Map257.json,events,5,pages,0,list,131,parameters,0"
“那么……,"Map257.json,events,5,pages,0,list,132,parameters,0"
店长,"Map257.json,events,5,pages,0,list,140,parameters,0"
“大妖狐小姐，那个药水也就是香水成功了。,"Map257.json,events,5,pages,0,list,141,parameters,0"
万一淫魔再次出现,"Map257.json,events,5,pages,0,list,142,parameters,0"
现在这样也能应对。”,"Map257.json,events,5,pages,0,list,143,parameters,0"
店长,"Map257.json,events,5,pages,0,list,145,parameters,0"
“一直让你随心所欲，还在方便的时候帮忙,"Map257.json,events,5,pages,0,list,146,parameters,0"
真是抱歉。,"Map257.json,events,5,pages,0,list,147,parameters,0"
本来是因为我的管理不善才……”,"Map257.json,events,5,pages,0,list,148,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,150,parameters,0"
“没关系，别介意♪,"Map257.json,events,5,pages,0,list,151,parameters,0"
平时我们不干涉人类的事情,"Map257.json,events,5,pages,0,list,152,parameters,0"
但是世界危机就另当别论了。”,"Map257.json,events,5,pages,0,list,153,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,155,parameters,0"
“如果药水没问题就好。,"Map257.json,events,5,pages,0,list,156,parameters,0"
实验是不是清彦君做的？”,"Map257.json,events,5,pages,0,list,157,parameters,0"
我别开了眼睛，无力地笑了起来。,"Map257.json,events,5,pages,0,list,160,parameters,0"
既然说是“成功”,"Map257.json,events,5,pages,0,list,161,parameters,0"
就没有必要隐瞒发生了什么……。,"Map257.json,events,5,pages,0,list,162,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,166,parameters,0"
“对不起，清彦君。,"Map257.json,events,5,pages,0,list,167,parameters,0"
所以，虽然有点追问……。,"Map257.json,events,5,pages,0,list,168,parameters,0"
\.\.能详细告诉我发生了什么吗？”,"Map257.json,events,5,pages,0,list,169,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,174,parameters,0"
「诶？」,"Map257.json,events,5,pages,0,list,175,parameters,0"
既然她已经知道了药水的效果,"Map257.json,events,5,pages,0,list,177,parameters,0"
就没有必要告诉她了吧！？,"Map257.json,events,5,pages,0,list,178,parameters,0"
店长,"Map257.json,events,5,pages,0,list,180,parameters,0"
“发生了什么样的现象很重要。,"Map257.json,events,5,pages,0,list,181,parameters,0"
可能会成为恢复原状的线索。,"Map257.json,events,5,pages,0,list,182,parameters,0"
\.\.有点困扰\.\.唔！\.\.\.请告诉我吧。”,"Map257.json,events,5,pages,0,list,183,parameters,0"
也许会成为恢复原状的线索。\!,"Map257.json,events,5,pages,0,list,187,parameters,0"
被这样说了就不能反悔了……。,"Map257.json,events,5,pages,0,list,188,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,191,parameters,0"
“是的，呃……首先――。,"Map257.json,events,5,pages,0,list,192,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,198,parameters,0"
“……就是这样，是的。”,"Map257.json,events,5,pages,0,list,199,parameters,0"
害羞得要死，真想找个地缝钻进去。,"Map257.json,events,5,pages,0,list,204,parameters,0"
说得这么详细。,"Map257.json,events,5,pages,0,list,205,parameters,0"
彼此交换了各种行为……。,"Map257.json,events,5,pages,0,list,206,parameters,0"
店长,"Map257.json,events,5,pages,0,list,208,parameters,0"
“原来如此……你们两个做了很多事情呢。”,"Map257.json,events,5,pages,0,list,209,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,213,parameters,0"
“一开始是一个人做的话,"Map257.json,events,5,pages,0,list,214,parameters,0"
一个人就一个人，两个人就两个人。”,"Map257.json,events,5,pages,0,list,215,parameters,0"
店长,"Map257.json,events,5,pages,0,list,217,parameters,0"
“一个人一直做下去就好了,"Map257.json,events,5,pages,0,list,218,parameters,0"
但是既然混在一起了,"Map257.json,events,5,pages,0,list,219,parameters,0"
发情的淫魔可能会袭击人类。”,"Map257.json,events,5,pages,0,list,220,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,222,parameters,0"
“听说接吻也会改变……。,"Map257.json,events,5,pages,0,list,223,parameters,0"
要改进成一个人做吗？”,"Map257.json,events,5,pages,0,list,224,parameters,0"
店长,"Map257.json,events,5,pages,0,list,226,parameters,0"
“想试试淫魔和本来是人类的区别。,"Map257.json,events,5,pages,0,list,227,parameters,0"
淫魔原本就会袭击人类。,"Map257.json,events,5,pages,0,list,228,parameters,0"
当然，男女两种情况都要试一下。”,"Map257.json,events,5,pages,0,list,229,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,231,parameters,0"
“是啊，根据结果决定下一步计划。”,"Map257.json,events,5,pages,0,list,232,parameters,0"
被自己推进了对话。,"Map257.json,events,5,pages,0,list,235,parameters,0"
这样下去，又要闻那个气味,"Map257.json,events,5,pages,0,list,236,parameters,0"
再次遭受尴尬了。,"Map257.json,events,5,pages,0,list,237,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,239,parameters,0"
“那个……我有否决权吗？”,"Map257.json,events,5,pages,0,list,240,parameters,0"
店长,"Map257.json,events,5,pages,0,list,242,parameters,0"
“世界就靠你了。”,"Map257.json,events,5,pages,0,list,243,parameters,0"
大妖狐,"Map257.json,events,5,pages,0,list,247,parameters,0"
“对不起，清彦君。只有你一个人。”,"Map257.json,events,5,pages,0,list,248,parameters,0"
无论怎么挣扎都没用……。,"Map257.json,events,5,pages,0,list,253,parameters,0"
既然淫魔只有她一个人，就只能这样了。,"Map257.json,events,5,pages,0,list,254,parameters,0"
只能依靠她了。,"Map257.json,events,5,pages,0,list,255,parameters,0"
店长,"Map257.json,events,5,pages,0,list,257,parameters,0"
“这也是恢复原状的过程。,"Map257.json,events,5,pages,0,list,258,parameters,0"
对不起，请你帮忙。”,"Map257.json,events,5,pages,0,list,259,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,0,list,264,parameters,0"
“（她说的不是随便说的吧……）”,"Map257.json,events,5,pages,0,list,265,parameters,0"
半信半疑地跟着她。,"Map257.json,events,5,pages,0,list,268,parameters,0"
毕竟，为了变回人类男性,"Map257.json,events,5,pages,0,list,269,parameters,0"
只能跟着他们走……。,"Map257.json,events,5,pages,0,list,270,parameters,0"
ED30.淫魔化帰還ED,"Map257.json,events,5,pages,0,list,276,parameters,0"
店长,"Map257.json,events,5,pages,1,list,10,parameters,0"
“完全就是小孩子的淫魔嘛。”,"Map257.json,events,5,pages,1,list,11,parameters,0"
我低下头，无力地倒下。,"Map257.json,events,5,pages,1,list,14,parameters,0"
椅子太小，只露出脖子以上,"Map257.json,events,5,pages,1,list,15,parameters,0"
想要趴在地上却只能把额头贴在桌子上。,"Map257.json,events,5,pages,1,list,16,parameters,0"
\C[27]清彦,"Map257.json,events,5,pages,1,list,18,parameters,0"
“你是从哪里看到的……”,"Map257.json,events,5,pages,1,list,19,parameters,0"
店长,"Map257.json,events,5,pages,1,list,21,parameters,0"
“嗯……虽然不是我亲眼看到的,"Map257.json,events,5,pages,1,list,22,parameters,0"
但是那个孩子说,"Map257.json,events,5,pages,1,list,23,parameters,0"
‘从打开盒子的地方开始，变成了好材料’”,"Map257.json,events,5,pages,1,list,24,parameters,0"
‘那个孩子’是她在地下遇到的戴面具的男人。,"Map257.json,events,5,pages,1,list,28,parameters,0"
和其他人一样，变成小孩淫魔之后,"Map257.json,events,5,pages,1,list,29,parameters,0"
又变回了人类女孩。,"Map257.json,events,5,pages,1,list,30,parameters,0"
‘那个孩子’是她在地下遇到的戴面具的男人。,"Map257.json,events,5,pages,1,list,34,parameters,0"
和其他人一样，变成小孩淫魔之后,"Map257.json,events,5,pages,1,list,35,parameters,0"
又变回了人类女孩。,"Map257.json,events,5,pages,1,list,36,parameters,0"
