宝1,"Map204.json,events,1,name"
宝物2,"Map204.json,events,2,name"
宝物3,"Map204.json,events,3,name"
男1,"Map204.json,events,4,name"
男2,"Map204.json,events,5,name"
『取里面的东西是自由的，但要自负风险』,"Map204.json,events,7,pages,0,list,6,parameters,0"
招牌上写着这样的事情。,"Map204.json,events,7,pages,0,list,8,parameters,0"
从字面上看，这是女性写的吧。,"Map204.json,events,7,pages,0,list,9,parameters,0"
名字部分被弄脏了，无法辨认。,"Map204.json,events,7,pages,0,list,10,parameters,0"
有三个宝箱写着『自由取』。,"Map204.json,events,7,pages,0,list,17,parameters,0"
但是……太可疑了。,"Map204.json,events,7,pages,0,list,18,parameters,0"
试着检查正面的宝箱。,"Map204.json,events,7,pages,0,list,23,parameters,0"
会不会是那种一打开就会弹出刺的陷阱箱子呢？,"Map204.json,events,7,pages,0,list,24,parameters,0"
还是会爆炸的类型呢。,"Map204.json,events,7,pages,0,list,25,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,28,parameters,0"
「似乎没有什么问题……吧？」,"Map204.json,events,7,pages,0,list,29,parameters,0"
稍微检查了一下，应该可以顺利打开。,"Map204.json,events,7,pages,0,list,31,parameters,0"
发现没有上锁。,"Map204.json,events,7,pages,0,list,32,parameters,0"
小心翼翼地决定打开。,"Map204.json,events,7,pages,0,list,33,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,43,parameters,0"
「这是……！？」,"Map204.json,events,7,pages,0,list,44,parameters,0"
那是一把剑。,"Map204.json,events,7,pages,0,list,46,parameters,0"
\!宝箱里写着『\C[18]破魔之剑\C[0]』。,"Map204.json,events,7,pages,0,list,47,parameters,0"
\.\.\.这是一个从未听说过的剑的名字。,"Map204.json,events,7,pages,0,list,48,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,50,parameters,0"
「名字上是指『破坏魔』吗？,"Map204.json,events,7,pages,0,list,51,parameters,0"
之后需要调查一下」,"Map204.json,events,7,pages,0,list,52,parameters,0"
拿起来时，似乎对他能使用火魔法的魔力有反应,"Map204.json,events,7,pages,0,list,54,parameters,0"
偶尔会发出红色的光。,"Map204.json,events,7,pages,0,list,55,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,57,parameters,0"
「……这个可以卖出去」,"Map204.json,events,7,pages,0,list,58,parameters,0"
能使用魔法的人肯定会争相抢购。,"Map204.json,events,7,pages,0,list,60,parameters,0"
虽然不太可能一下子还清债务,"Map204.json,events,7,pages,0,list,61,parameters,0"
但至少可以大幅度前进还款。,"Map204.json,events,7,pages,0,list,62,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,64,parameters,0"
「其他的宝箱――。,"Map204.json,events,7,pages,0,list,65,parameters,0"
首先是左边。,"Map204.json,events,7,pages,0,list,69,parameters,0"
这么想着，准备打开左边的宝箱\.\.\.就在那时。,"Map204.json,events,7,pages,0,list,70,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,72,parameters,0"
「（人的声音！？）」,"Map204.json,events,7,pages,0,list,73,parameters,0"
男1,"Map204.json,events,7,pages,0,list,92,parameters,0"
「因为那里有传送魔法阵，所以试着乘坐,"Map204.json,events,7,pages,0,list,93,parameters,0"
果然已经有人了啊。,"Map204.json,events,7,pages,0,list,94,parameters,0"
呵呵，虽然没找到精灵，但这是个意外收获」,"Map204.json,events,7,pages,0,list,95,parameters,0"
男2,"Map204.json,events,7,pages,0,list,97,parameters,0"
「嘿哥们，好剑啊。,"Map204.json,events,7,pages,0,list,98,parameters,0"
给我。虽然想这么说,"Map204.json,events,7,pages,0,list,99,parameters,0"
但这里是平等的，怎么样？」,"Map204.json,events,7,pages,0,list,100,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,103,parameters,0"
「（如果是战斗的话，大概能赢）」,"Map204.json,events,7,pages,0,list,104,parameters,0"
男人们的猎物大概是刀子。,"Map204.json,events,7,pages,0,list,106,parameters,0"
可能是因为不习惯战斗，姿势不谨慎。,"Map204.json,events,7,pages,0,list,107,parameters,0"
虽然不能大意，但只看一眼就能知道。,"Map204.json,events,7,pages,0,list,108,parameters,0"
……这些家伙都是业余的。,"Map204.json,events,7,pages,0,list,109,parameters,0"
但是，过于轻易地打倒他们可能会成为罪过。,"Map204.json,events,7,pages,0,list,111,parameters,0"
他们单方面地袭击我。如果是这样的话,"Map204.json,events,7,pages,0,list,112,parameters,0"
其中一个男人提出了平等的条件。,"Map204.json,events,7,pages,0,list,113,parameters,0"
虽然不知道这话是否值得信任。,"Map204.json,events,7,pages,0,list,114,parameters,0"
虽然情况很复杂，但仅凭这把剑已经足够收获了。,"Map204.json,events,7,pages,0,list,116,parameters,0"
当然左右两边的宝箱里的东西也让人在意。,"Map204.json,events,7,pages,0,list,117,parameters,0"
但最好还是避免战斗。,"Map204.json,events,7,pages,0,list,118,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,122,parameters,0"
「明白了。\.\.\剩下的宝箱就让给他们两个吧。,"Map204.json,events,7,pages,0,list,123,parameters,0"
只是，请解除武装并站在房间的角落」,"Map204.json,events,7,pages,0,list,124,parameters,0"
清彦,"Map204.json,events,7,pages,0,list,127,parameters,0"
「在我发出信号之前，请举起双手」,"Map204.json,events,7,pages,0,list,128,parameters,0"
男1,"Map204.json,events,7,pages,0,list,131,parameters,0"
「嘛，没办法啊」,"Map204.json,events,7,pages,0,list,132,parameters,0"
男2,"Map204.json,events,7,pages,0,list,147,parameters,0"
「这样可以吗？」,"Map204.json,events,7,pages,0,list,148,parameters,0"
两个人站在墙边，举起双手。,"Map204.json,events,7,pages,0,list,151,parameters,0"
确认了他们的姿势……并准备好破魔之剑后撤。,"Map204.json,events,7,pages,0,list,152,parameters,0"
男1,"Map204.json,events,7,pages,0,list,174,parameters,0"
「那个家伙不见了吗？」,"Map204.json,events,7,pages,0,list,175,parameters,0"
男2,"Map204.json,events,7,pages,0,list,177,parameters,0"
「看起来是这样。,"Map204.json,events,7,pages,0,list,178,parameters,0"
\.\.\.好！赶紧打开吧」,"Map204.json,events,7,pages,0,list,179,parameters,0"
男1,"Map204.json,events,7,pages,0,list,181,parameters,0"
「好嘞！」,"Map204.json,events,7,pages,0,list,182,parameters,0"
男1,"Map204.json,events,7,pages,0,list,202,parameters,0"
「宝贝～解放！」,"Map204.json,events,7,pages,0,list,203,parameters,0"
男2,"Map204.json,events,7,pages,0,list,213,parameters,0"
「我收下了！」,"Map204.json,events,7,pages,0,list,214,parameters,0"
男1,"Map204.json,events,7,pages,0,list,228,parameters,0"
「嗯嗯？？？,"Map204.json,events,7,pages,0,list,229,parameters,0"
