植物,"Map122.json,events,1,name"
\C[27]清彦,"Map122.json,events,3,pages,0,list,8,parameters,0"
「植物……吗？」,"Map122.json,events,3,pages,0,list,9,parameters,0"
被篱笆覆盖的植物。,"Map122.json,events,3,pages,0,list,11,parameters,0"
……虽然是这样，但情况很奇怪。,"Map122.json,events,3,pages,0,list,12,parameters,0"
\C[27]清彦,"Map122.json,events,3,pages,0,list,14,parameters,0"
「在……动？」,"Map122.json,events,3,pages,0,list,15,parameters,0"
它们像有意识一样蠕动着。,"Map122.json,events,3,pages,0,list,17,parameters,0"
仿佛要用那些藤蔓捕捉猎物一样。,"Map122.json,events,3,pages,0,list,18,parameters,0"
\C[27]清彦,"Map122.json,events,3,pages,0,list,21,parameters,0"
「那个阿鲁娜活着，所以藤蔓才会动……但这个」,"Map122.json,events,3,pages,0,list,22,parameters,0"
虽然看过了各种世界，但从未见过这样的东西。,"Map122.json,events,3,pages,0,list,26,parameters,0"
植物一个人四处走动。,"Map122.json,events,3,pages,0,list,27,parameters,0"
\C[27]清彦,"Map122.json,events,3,pages,0,list,30,parameters,0"
「不过没关系」,"Map122.json,events,3,pages,0,list,31,parameters,0"
植物普遍都怕『火』。,"Map122.json,events,3,pages,0,list,33,parameters,0"
他也擅长火魔法。,"Map122.json,events,3,pages,0,list,34,parameters,0"
身体变化后，魔力是否有问题,"Map122.json,events,3,pages,0,list,37,parameters,0"
为了确认，他检查了一下。,"Map122.json,events,3,pages,0,list,38,parameters,0"
全身涌动的感觉是,"Map122.json,events,3,pages,0,list,39,parameters,0"
能够使用火魔法的证明。好，看起来没问题。,"Map122.json,events,3,pages,0,list,40,parameters,0"
\C[27]清彦,"Map122.json,events,3,pages,0,list,42,parameters,0"
「而且魔力循环比平时好多了。,"Map122.json,events,3,pages,0,list,43,parameters,0"
如果那个植物对我做了什么，我会立刻把它烧掉」,"Map122.json,events,3,pages,0,list,44,parameters,0"
轻轻握紧拳头。,"Map122.json,events,3,pages,0,list,46,parameters,0"
软软的手感和坚硬的手感同时出现,"Map122.json,events,3,pages,0,list,47,parameters,0"
还需要时间来适应。,"Map122.json,events,3,pages,0,list,48,parameters,0"
\C[27]清彦,"Map122.json,events,4,pages,0,list,3,parameters,0"
「这里放了很多药品。,"Map122.json,events,4,pages,0,list,4,parameters,0"
『『精灵传授的抑制发情药』在困难时使用』,"Map122.json,events,4,pages,0,list,5,parameters,0"
……不想用啊」,"Map122.json,events,4,pages,0,list,6,parameters,0"
\C[27]清彦,"Map122.json,events,4,pages,0,list,8,parameters,0"
「精灵……吗，虽然很少见到他们,"Map122.json,events,4,pages,0,list,9,parameters,0"
但也许他们在这个岛上吧？」,"Map122.json,events,4,pages,0,list,10,parameters,0"
\C[27]清彦,"Map122.json,events,4,pages,0,list,13,parameters,0"
「那个『精灵之森』的招牌是真的吗……？,"Map122.json,events,4,pages,0,list,14,parameters,0"
调查一下也是个好主意」,"Map122.json,events,4,pages,0,list,15,parameters,0"
\C[27]清彦,"Map122.json,events,4,pages,1,list,2,parameters,0"
「没想到会被这个药救了……」,"Map122.json,events,4,pages,1,list,3,parameters,0"
『对火弱！,"Map122.json,events,5,pages,0,list,1,parameters,0"
但是，只用火可能无法击败它？？？,"Map122.json,events,5,pages,0,list,2,parameters,0"
请小心！』,"Map122.json,events,5,pages,0,list,3,parameters,0"
『深处的书里有打败我的分身的提示！,"Map122.json,events,5,pages,0,list,5,parameters,0"
一定要看看♪』,"Map122.json,events,5,pages,0,list,6,parameters,0"
\C[27]清彦,"Map122.json,events,5,pages,0,list,8,parameters,0"
「字写得乱七八糟的」,"Map122.json,events,5,pages,0,list,9,parameters,0"
\C[27]清彦,"Map122.json,events,5,pages,0,list,13,parameters,0"
「打败分身的提示，是指那本书吗？」,"Map122.json,events,5,pages,0,list,14,parameters,0"
『对火弱！,"Map122.json,events,5,pages,1,list,2,parameters,0"
但是，只用火可能无法击败它？？？,"Map122.json,events,5,pages,1,list,3,parameters,0"
请小心！』,"Map122.json,events,5,pages,1,list,4,parameters,0"
『深处的书里有打败我的分身的提示！,"Map122.json,events,5,pages,1,list,6,parameters,0"
一定要看看♪』,"Map122.json,events,5,pages,1,list,7,parameters,0"
\C[27]清彦,"Map122.json,events,5,pages,1,list,11,parameters,0"
「要打败它，,"Map122.json,events,5,pages,1,list,12,parameters,0"
必须使用这个除草剂吗……？」,"Map122.json,events,5,pages,1,list,13,parameters,0"
『对火弱！,"Map122.json,events,5,pages,1,list,17,parameters,0"
但是，只用火可能无法击败它？？？,"Map122.json,events,5,pages,1,list,18,parameters,0"
请小心！』,"Map122.json,events,5,pages,1,list,19,parameters,0"
『深处的书里有打败我的分身的提示！,"Map122.json,events,5,pages,1,list,21,parameters,0"
一定要看看♪』,"Map122.json,events,5,pages,1,list,22,parameters,0"
\C[27]清彦,"Map122.json,events,5,pages,1,list,26,parameters,0"
「到底怎样才能打败那个植物呢」,"Map122.json,events,5,pages,1,list,27,parameters,0"
\C[27]清彦,"Map122.json,events,6,pages,0,list,1,parameters,0"
「这里的植物很强！,"Map122.json,events,6,pages,0,list,2,parameters,0"
如果要打败它，就要做好充分的准备♪」,"Map122.json,events,6,pages,0,list,3,parameters,0"
准备……吗,"Map122.json,events,6,pages,0,list,4,parameters,0"
\C[27]清彦,"Map122.json,events,6,pages,1,list,1,parameters,0"
「这里的植物很强！,"Map122.json,events,6,pages,1,list,2,parameters,0"
如果要打败它，就要做好充分的准备♪」,"Map122.json,events,6,pages,1,list,3,parameters,0"
要做什么准备才好呢……,"Map122.json,events,6,pages,1,list,4,parameters,0"
这里似乎只有一扇可开闭的门。,"Map122.json,events,7,pages,0,list,1,parameters,0"
进去后，好像可以与植物战斗……？,"Map122.json,events,7,pages,0,list,2,parameters,0"
战斗,"Map122.json,events,7,pages,0,list,3,parameters,0,0"
保持原样,"Map122.json,events,7,pages,0,list,3,parameters,0,1"
战斗,"Map122.json,events,7,pages,0,list,4,parameters,1"
我认为战斗是一种习惯。,"Map122.json,events,7,pages,0,list,9,parameters,0"
我曾经与人类、动物等生物战斗过很多次。,"Map122.json,events,7,pages,0,list,10,parameters,0"
……但眼前的，已经不再是生物。,"Map122.json,events,7,pages,0,list,11,parameters,0"
只是普通的植物。活动的植物。,"Map122.json,events,7,pages,0,list,12,parameters,0"
我不了解战斗的原则。,"Map122.json,events,7,pages,0,list,14,parameters,0"
最坏的情况下，我认为用火魔法应该能解决……,"Map122.json,events,7,pages,0,list,15,parameters,0"
大妖狐曾说过,"Map122.json,events,7,pages,0,list,16,parameters,0"
“不会死”的话，我只能相信。,"Map122.json,events,7,pages,0,list,17,parameters,0"
也许可以用这个除草剂解决……！,"Map122.json,events,7,pages,0,list,20,parameters,0"
在战斗开始后，立刻使用它也是个办法。,"Map122.json,events,7,pages,0,list,21,parameters,0"
我只能依靠自己的魔法！,"Map122.json,events,7,pages,0,list,25,parameters,0"
这个爪子似乎可以用来攻击，但我不太清楚。,"Map122.json,events,7,pages,0,list,26,parameters,0"
对于不了解的东西，最好尽量不要使用。,"Map122.json,events,7,pages,0,list,27,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,31,parameters,0"
“走吧！”,"Map122.json,events,7,pages,0,list,32,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,43,parameters,0"
“哈……哈……呼”,"Map122.json,events,7,pages,0,list,44,parameters,0"
总算逃脱了。,"Map122.json,events,7,pages,0,list,46,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,51,parameters,0"
“没想到，烧掉后会立刻复活”,"Map122.json,events,7,pages,0,list,52,parameters,0"
确实用火魔法烧掉了活动的植物。,"Map122.json,events,7,pages,0,list,54,parameters,0"
然而它复活了，并再次试图束缚她的身体。,"Map122.json,events,7,pages,0,list,55,parameters,0"
匆忙逃跑，才得以安全脱身。,"Map122.json,events,7,pages,0,list,56,parameters,0"
那个植物似乎没有追到笼子外。,"Map122.json,events,7,pages,0,list,57,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,60,parameters,0"
“如果不用除草剂的话，会怎样呢……？”,"Map122.json,events,7,pages,0,list,61,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,65,parameters,0"
“……那么，只能用其他方法了”,"Map122.json,events,7,pages,0,list,66,parameters,0"
\C[27]嗯～。\C[0]她歪着头。\!,"Map122.json,events,7,pages,0,list,70,parameters,0"
耳朵轻轻地动了起来，仿佛回应了她的意愿。,"Map122.json,events,7,pages,0,list,71,parameters,0"
尾巴也轻轻地左右摇晃着，毛茸茸的。\!,"Map122.json,events,7,pages,0,list,72,parameters,0"
她竟然没有注意到自己已经能够动耳朵和尾巴了。,"Map122.json,events,7,pages,0,list,73,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,77,parameters,0"
「……嗯？」,"Map122.json,events,7,pages,0,list,78,parameters,0"
突然，她察觉到了不对劲的地方。,"Map122.json,events,7,pages,0,list,80,parameters,0"
\!裙子下面的凉爽感比以前更强烈。,"Map122.json,events,7,pages,0,list,81,parameters,0"
空气流通得这么好吗？,"Map122.json,events,7,pages,0,list,82,parameters,0"
大腿上包裹着的袜子有这种感觉吗？,"Map122.json,events,7,pages,0,list,83,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,85,parameters,0"
“这是怎么回事，感觉不安定。,"Map122.json,events,7,pages,0,list,86,parameters,0"
这种凉爽感，或者说从裆部直接穿过去的感觉”,"Map122.json,events,7,pages,0,list,87,parameters,0"
她摸了摸已经消失的、但内部仍然存在的下体。,"Map122.json,events,7,pages,0,list,89,parameters,0"
\!……比起刚才，内部的感觉变得淡薄了？,"Map122.json,events,7,pages,0,list,90,parameters,0"
到底发生了什么。,"Map122.json,events,7,pages,0,list,91,parameters,0"
她开始轻轻地触摸自己的全身。,"Map122.json,events,7,pages,0,list,92,parameters,0"
\C[27]清彦,"Map122.json,events,7,pages,0,list,96,parameters,0"
“咦！？”,"Map122.json,events,7,pages,0,list,97,parameters,0"
她轻轻地捏了一下皮肤，感到了疼痛。\C[18],"Map122.json,events,7,pages,0,list,99,parameters,0"
