敵アルラウネ1,"Map058.json,events,1,name"
爱娜温,"Map058.json,events,1,pages,3,list,2,parameters,0"
清彦,"Map058.json,events,1,pages,3,list,5,parameters,0"
「咕……！」,"Map058.json,events,1,pages,3,list,6,parameters,0"
瞬间抽出腰间的剑，做好战斗准备。,"Map058.json,events,1,pages,3,list,8,parameters,0"
不能在这种地方耽误时间……！,"Map058.json,events,1,pages,3,list,9,parameters,0"
然而，她没有敌意。\!,"Map058.json,events,1,pages,3,list,12,parameters,0"
明明我们已经明确拔出剑了,"Map058.json,events,1,pages,3,list,13,parameters,0"
她却像什么事都没有发生一样，悠闲自在。,"Map058.json,events,1,pages,3,list,14,parameters,0"
她的眼神，就像我们在这片森林相遇时那样温柔。,"Map058.json,events,1,pages,3,list,15,parameters,0"
爱娜温,"Map058.json,events,1,pages,3,list,17,parameters,0"
「嘿嘿，你怎么了～？你也要唱歌吗？」,"Map058.json,events,1,pages,3,list,18,parameters,0"
清彦,"Map058.json,events,1,pages,3,list,21,parameters,0"
「诶……？」,"Map058.json,events,1,pages,3,list,22,parameters,0"
这家伙在说什么呢。,"Map058.json,events,1,pages,3,list,24,parameters,0"
刚才还攻击我们，还对我们做了什么。,"Map058.json,events,1,pages,3,list,25,parameters,0"
然而……她的反应却像什么都没有发生一样。,"Map058.json,events,1,pages,3,list,26,parameters,0"
这让他也感到惊讶。,"Map058.json,events,1,pages,3,list,27,parameters,0"
清彦,"Map058.json,events,1,pages,3,list,30,parameters,0"
「不，下次再说吧」,"Map058.json,events,1,pages,3,list,31,parameters,0"
爱娜温,"Map058.json,events,1,pages,3,list,33,parameters,0"
「是吗～？再见啦」,"Map058.json,events,1,pages,3,list,34,parameters,0"
就这样吧。\!,"Map058.json,events,1,pages,3,list,36,parameters,0"
如果不妨碍我们，就快点去教会吧。,"Map058.json,events,1,pages,3,list,37,parameters,0"
他在那时没有注意到。,"Map058.json,events,1,pages,3,list,40,parameters,0"
爱娜温不再称呼他为『人类』,"Map058.json,events,1,pages,3,list,41,parameters,0"
而是称呼他为『你』……。,"Map058.json,events,1,pages,3,list,42,parameters,0"
为什么开始称呼他为『你』呢……。,"Map058.json,events,1,pages,3,list,43,parameters,0"
爱娜温,"Map058.json,events,1,pages,4,list,2,parameters,0"
「怎么了～？脸色不好哦～？」,"Map058.json,events,1,pages,4,list,3,parameters,0"
敌人！\!,"Map058.json,events,1,pages,4,list,6,parameters,0"
她想要抽出剑……不，没有任何东西可以抽出。,"Map058.json,events,1,pages,4,list,7,parameters,0"
\C[27]清彦,"Map058.json,events,1,pages,4,list,9,parameters,0"
「（糟糕！现在我没有武器。,"Map058.json,events,1,pages,4,list,10,parameters,0"
如果说有的话……）」,"Map058.json,events,1,pages,4,list,11,parameters,0"
刺。\!,"Map058.json,events,1,pages,4,list,13,parameters,0"
缠绕在下半身的东西。,"Map058.json,events,1,pages,4,list,14,parameters,0"
仔细一看……敌人的爱娜温身上也有同样的东西。,"Map058.json,events,1,pages,4,list,15,parameters,0"
\C[27]清彦,"Map058.json,events,1,pages,4,list,17,parameters,0"
「（……难、难道）」,"Map058.json,events,1,pages,4,list,18,parameters,0"
她注意到了。\!,"Map058.json,events,1,pages,4,list,20,parameters,0"
从爱娜温的球茎上长出的刺。,"Map058.json,events,1,pages,4,list,21,parameters,0"
那个，缠绕在她的下半身上的东西,"Map058.json,events,1,pages,4,list,22,parameters,0"
和那个是一样的……。,"Map058.json,events,1,pages,4,list,23,parameters,0"
\C[27]清彦,"Map058.json,events,1,pages,4,list,25,parameters,0"
