姐姐,"Map004.json,events,2,name"
女性,"Map004.json,events,3,pages,0,list,1,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,0,list,2,parameters,0"
有关魔物娘和这个岛的资料都在这里。”,"Map004.json,events,3,pages,0,list,3,parameters,0"
女性,"Map004.json,events,3,pages,1,list,1,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,1,list,2,parameters,0"
左边是关于魔物娘的,"Map004.json,events,3,pages,1,list,3,parameters,0"
右边是关于这个岛的资料。”,"Map004.json,events,3,pages,1,list,4,parameters,0"
女性,"Map004.json,events,3,pages,1,list,6,parameters,0"
“（魔物娘也会读关于魔物娘的书吗？）”,"Map004.json,events,3,pages,1,list,7,parameters,0"
她露出了好奇的表情。,"Map004.json,events,3,pages,1,list,9,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,1,list,11,parameters,0"
“（……嗯，也没什么不可以的）”,"Map004.json,events,3,pages,1,list,12,parameters,0"
女性,"Map004.json,events,3,pages,2,list,1,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,2,list,2,parameters,0"
左边是关于魔物娘的,"Map004.json,events,3,pages,2,list,3,parameters,0"
右边是关于这个岛的资料。”,"Map004.json,events,3,pages,2,list,4,parameters,0"
女性,"Map004.json,events,3,pages,2,list,6,parameters,0"
“（魔物娘也会读关于魔物娘的书吗？）”,"Map004.json,events,3,pages,2,list,7,parameters,0"
她露出了好奇的表情。,"Map004.json,events,3,pages,2,list,9,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,2,list,11,parameters,0"
“（……嗯，也没什么不可以的。,"Map004.json,events,3,pages,2,list,12,parameters,0"
那个人，肩膀好像很紧张。,"Map004.json,events,3,pages,2,list,13,parameters,0"
看起来肩膀很酸痛的样子）”,"Map004.json,events,3,pages,2,list,14,parameters,0"
女性,"Map004.json,events,3,pages,3,list,1,parameters,0"
“你好，这里是图书馆。,"Map004.json,events,3,pages,3,list,2,parameters,0"
有关魔物娘和这个岛的资料都在这里。,"Map004.json,events,3,pages,3,list,3,parameters,0"
（胸部好大啊）”,"Map004.json,events,3,pages,3,list,4,parameters,0"
\C[27]清彦,"Map004.json,events,3,pages,3,list,6,parameters,0"
“（感觉胸部被盯着看了。,"Map004.json,events,3,pages,3,list,7,parameters,0"
连女性也会对此感兴趣吗……）”,"Map004.json,events,3,pages,3,list,8,parameters,0"
