淫魔B,"Map244.json,events,1,name"
女性,"Map244.json,events,1,pages,1,list,1,parameters,0"
“我可不是痴女。,"Map244.json,events,1,pages,1,list,2,parameters,0"
打算穿上化妆服跳舞,"Map244.json,events,1,pages,1,list,3,parameters,0"
所以现在开始适应一下……真害羞呢”,"Map244.json,events,1,pages,1,list,4,parameters,0"
清彦,"Map244.json,events,1,pages,1,list,6,parameters,0"
“（看起来很辛苦啊……）”,"Map244.json,events,1,pages,1,list,7,parameters,0"
那个男人,"Map244.json,events,8,name"
淫魔C,"Map244.json,events,13,name"
清彦,"Map244.json,events,13,pages,0,list,15,parameters,0"
「呜啊！（糟糕……！）」,"Map244.json,events,13,pages,0,list,16,parameters,0"
终于，他被淫魔压倒了。,"Map244.json,events,13,pages,0,list,19,parameters,0"
仰面倒下，盔甲发出咔嗒声。,"Map244.json,events,13,pages,0,list,20,parameters,0"
淫魔的束缚很甜蜜，但还能挣脱！,"Map244.json,events,13,pages,0,list,22,parameters,0"
别以为你能压制住一个用一只手……锻炼过的男人！\.\.\.,"Map244.json,events,13,pages,0,list,23,parameters,0"
然而，淫魔的力量非常强大,"Map244.json,events,13,pages,0,list,24,parameters,0"
……从他的脊背上开始流下了冰冷的东西。,"Map244.json,events,13,pages,0,list,25,parameters,0"
淫魔……仍然束缚着他。,"Map244.json,events,13,pages,0,list,27,parameters,0"
张开双腿，展示她丰满的身体。,"Map244.json,events,13,pages,0,list,28,parameters,0"
淫魔,"Map244.json,events,13,pages,0,list,30,parameters,0"
「人类……被捉住了♡」,"Map244.json,events,13,pages,0,list,31,parameters,0"
束缚依然松弛到可以动左臂。,"Map244.json,events,13,pages,0,list,34,parameters,0"
淫魔的体重并不重，没有太多的重量感。,"Map244.json,events,13,pages,0,list,35,parameters,0"
然而，淫魔的一只左臂轻轻地压制住了他。,"Map244.json,events,13,pages,0,list,36,parameters,0"
这是人类和魔物女之间，绝对无法逾越的壁垒之一。,"Map244.json,events,13,pages,0,list,37,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,41,parameters,0"
「放开我……呃！\.\.\n冷静下来。在这里使用火魔法……\!咳……！？」,"Map244.json,events,13,pages,0,list,42,parameters,0"
不知为何火魔法无法发动。,"Map244.json,events,13,pages,0,list,44,parameters,0"
淫魔具有无意识地吸取目标魔力的能力。,"Map244.json,events,13,pages,0,list,45,parameters,0"
通常，魔力急剧流失会,"Map244.json,events,13,pages,0,list,47,parameters,0"
导致意识动摇等症状，,"Map244.json,events,13,pages,0,list,48,parameters,0"
但是被淫魔吸取魔力时却没有任何反应。,"Map244.json,events,13,pages,0,list,49,parameters,0"
即使……被束缚住也可以抵抗……！,"Map244.json,events,13,pages,0,list,51,parameters,0"
用剩下的左手全力击打淫魔的身体,"Map244.json,events,13,pages,0,list,52,parameters,0"
但皮肤上不仅没有伤口，甚至连痕迹都没有。,"Map244.json,events,13,pages,0,list,53,parameters,0"
淫魔似乎也觉得很烦人,"Map244.json,events,13,pages,0,list,57,parameters,0"
用右膝轻松地压制住了他的左手。,"Map244.json,events,13,pages,0,list,58,parameters,0"
\!被双臂封锁的他无法掩饰自己的动摇。,"Map244.json,events,13,pages,0,list,59,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,63,parameters,0"
「可恶……\.\.我不要……！」,"Map244.json,events,13,pages,0,list,64,parameters,0"
渐渐地，他的声音开始颤抖。\!,"Map244.json,events,13,pages,0,list,66,parameters,0"
淫魔毫不在意，舔了舔嘴唇,"Map244.json,events,13,pages,0,list,67,parameters,0"
背后似乎有什么东西晃动,"Map244.json,events,13,pages,0,list,68,parameters,0"
然后慢慢地靠近他的视线……。,"Map244.json,events,13,pages,0,list,69,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,73,parameters,0"
心形的器官。,"Map244.json,events,13,pages,0,list,76,parameters,0"
当顶端张开时，液体从顶端溢出,"Map244.json,events,13,pages,0,list,77,parameters,0"
滴答滴答地发出声音,"Map244.json,events,13,pages,0,list,78,parameters,0"
弄湿了他的盔甲。,"Map244.json,events,13,pages,0,list,79,parameters,0"
目睹了那个男人所经历的结局。,"Map244.json,events,13,pages,0,list,81,parameters,0"
同样被仰面倒下,"Map244.json,events,13,pages,0,list,82,parameters,0"
同样被压在脸上的心形器官……。,"Map244.json,events,13,pages,0,list,83,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,85,parameters,0"
「嗯――。,"Map244.json,events,13,pages,0,list,86,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,93,parameters,0"
「呃……！\.\.咳……！」,"Map244.json,events,13,pages,0,list,94,parameters,0"
像橡胶一样柔软的心形物体,"Map244.json,events,13,pages,0,list,98,parameters,0"
从顶端以惊人的力量喷射出液体,"Map244.json,events,13,pages,0,list,99,parameters,0"
他的口腔瞬间被苦涩的液体浸湿。,"Map244.json,events,13,pages,0,list,100,parameters,0"
淫魔捏住他试图吐出的鼻子。,"Map244.json,events,13,pages,0,list,102,parameters,0"
\!无法呼吸……！不行，如果喝下这个就完了。,"Map244.json,events,13,pages,0,list,103,parameters,0"
但是，无法呼吸就会死……！,"Map244.json,events,13,pages,0,list,104,parameters,0"
不能喝，但是这样下去……！,"Map244.json,events,13,pages,0,list,105,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,107,parameters,0"
「……嗯…………嗯…………咳……！」,"Map244.json,events,13,pages,0,list,108,parameters,0"
无法违背生存本能……。,"Map244.json,events,13,pages,0,list,110,parameters,0"
如果这是没有任何影响的液体,"Map244.json,events,13,pages,0,list,111,parameters,0"
他可能只会认为是“成年人的苦涩味”。,"Map244.json,events,13,pages,0,list,112,parameters,0"
当口被释放，可以呼吸时,"Map244.json,events,13,pages,0,list,114,parameters,0"
液体通过他的喉咙，落入胃中,"Map244.json,events,13,pages,0,list,115,parameters,0"
营养正在全身传播。,"Map244.json,events,13,pages,0,list,116,parameters,0"
这是淫魔化的营养。,"Map244.json,events,13,pages,0,list,118,parameters,0"
身体……全身开始变得热起来。\!,"Map244.json,events,13,pages,0,list,119,parameters,0"
没关系，即使如此，我还是不会改变。什么都不会发生。\.\.\.,"Map244.json,events,13,pages,0,list,120,parameters,0"
什么都……不会发生的。,"Map244.json,events,13,pages,0,list,121,parameters,0"
这个愿望没有实现。,"Map244.json,events,13,pages,0,list,127,parameters,0"
\!胸部，嘭嘭地跳动着,"Map244.json,events,13,pages,0,list,128,parameters,0"
逐渐形成了……膨胀了出来。,"Map244.json,events,13,pages,0,list,129,parameters,0"
与此同时，下体的重量感急剧消失。,"Map244.json,events,13,pages,0,list,131,parameters,0"
仿佛在下腹部打开了什么一样,"Map244.json,events,13,pages,0,list,132,parameters,0"
新的器官正在形成……。,"Map244.json,events,13,pages,0,list,133,parameters,0"
随着盔甲被顶起，胸部膨胀,"Map244.json,events,13,pages,0,list,135,parameters,0"
尽管感到呼吸困难，他触摸着那个东西,"Map244.json,events,13,pages,0,list,136,parameters,0"
看到淫魔露出满足的表情，摇摆着尾巴,"Map244.json,events,13,pages,0,list,137,parameters,0"
就像一只狗一样。,"Map244.json,events,13,pages,0,list,138,parameters,0"
延伸到腰部的淡紫色头发。,"Map244.json,events,13,pages,0,list,140,parameters,0"
两只像蝙蝠一样的翅膀,"Map244.json,events,13,pages,0,list,141,parameters,0"
从屁股上长出的心形淫荡尾巴。,"Map244.json,events,13,pages,0,list,142,parameters,0"
展示身体的服装。,"Map244.json,events,13,pages,0,list,144,parameters,0"
比裸体更性感,"Map244.json,events,13,pages,0,list,145,parameters,0"
胸部，腰部，臀部，大腿都是丰满的\C[18]女人\C[0]。,"Map244.json,events,13,pages,0,list,146,parameters,0"
淫魔抬起托住胸部的绳子，然后放下。,"Map244.json,events,13,pages,0,list,148,parameters,0"
然后胸部颤抖了一下，左右摇晃。,"Map244.json,events,13,pages,0,list,149,parameters,0"
……这个胸部，这个细腰，这对翅膀，这条尾巴。,"Map244.json,events,13,pages,0,list,151,parameters,0"
这个丰满的身体，都是属于你的，她告诉他。,"Map244.json,events,13,pages,0,list,152,parameters,0"
\.\.\.是的……他似乎在教给他。,"Map244.json,events,13,pages,0,list,153,parameters,0"
清彦,"Map244.json,events,13,pages,0,list,155,parameters,0"
「我不想成为魔物娘……！,"Map244.json,events,13,pages,0,list,156,parameters,0"
我是人类，人类――。,"Map244.json,events,13,pages,0,list,157,parameters,0"
\C[27]清彦,"Map244.json,events,13,pages,0,list,174,parameters,0"
「啊……」,"Map244.json,events,13,pages,0,list,175,parameters,0"
胸部的发育停止了。\!衣服变了。,"Map244.json,events,13,pages,0,list,177,parameters,0"
从系在脖子上的项圈伸出的绳子,"Map244.json,events,13,pages,0,list,178,parameters,0"
托住了\C[27]她\C[0]的胸部，适度地抑制着晃动。,"Map244.json,events,13,pages,0,list,179,parameters,0"
曾经触碰过的下体感到空虚。,"Map244.json,events,13,pages,0,list,181,parameters,0"
当然，那里已经什么都没有了。,"Map244.json,events,13,pages,0,list,182,parameters,0"
\!无论多么内八字走路,"Map244.json,events,13,pages,0,list,183,parameters,0"
她的腿下都会形成一个小缝隙。,"Map244.json,events,13,pages,0,list,184,parameters,0"
触摸着变得柔软而丰满的胸部,"Map244.json,events,13,pages,0,list,190,parameters,0"
她的头变得沉重，从背后和屁股\C[27]滴答♡\C[0],"Map244.json,events,13,pages,0,list,191,parameters,0"
发出声音，然后有什么东西摇晃着出现了……。,"Map244.json,events,13,pages,0,list,192,parameters,0"
淫魔,"Map244.json,events,13,pages,0,list,194,parameters,0"
「这样……\C[18]我们是伙伴\C[0]，对吧♡」,"Map244.json,events,13,pages,0,list,195,parameters,0"
淫魔慢慢地离开了她。,"Map244.json,events,13,pages,0,list,199,parameters,0"
