药水,"Items.json,1,name"
魔法水,"Items.json,2,name"
驱邪草,"Items.json,3,name"
兴奋剂,"Items.json,4,name"
猫喜欢的物品。,"Items.json,6,description"
猫薄荷,"Items.json,6,name"
针对吸血鬼的物品，吸血鬼触碰会受重伤。,"Items.json,7,description"
银桩,"Items.json,7,name"
炸弹,"Items.json,9,name"
隐约能看清『1、2和3！』 这几个字。,"Items.json,11,description"
钥匙1,"Items.json,11,name"
隐约能看清『1、2和3！』 这几个字。,"Items.json,12,description"
钥匙2,"Items.json,12,name"
隐约能看清『1、2和3！』 这几个字。,"Items.json,13,description"
钥匙3,"Items.json,13,name"
"这是一个魔力球。据说当持有者的生命垂危时
它会发挥其作用。","Items.json,15,description"
水蓝色水晶,"Items.json,15,name"
"失去了功效，变成灰色的水晶。
它不再具有任何作用，只是一件装饰品。","Items.json,16,description"
灰色水晶,"Items.json,16,name"
"字面意义上的梯子。
虽然被水弄湿了，但应该没问题。","Items.json,18,description"
梯子,"Items.json,18,name"
杖子的顶端像一个手柄一样。,"Items.json,19,description"
拐杖,"Items.json,19,name"
似乎可以用来剪断或扭曲某些东西的钳子。,"Items.json,20,description"
钳子,"Items.json,20,name"
看起来可以拿来做些什么。,"Items.json,21,description"
绳子,"Items.json,21,name"
挂在墙上后，可以成为几米长的梯子。,"Items.json,22,description"
梯子,"Items.json,22,name"
"某处的小钥匙。
还没有生锈，似乎可以正常使用。","Items.json,23,description"
小钥匙,"Items.json,23,name"
"释放强大水压的一次性物品。
可以用于灭火，有时也可用于自保。","Items.json,24,description"
水压球,"Items.json,24,name"
"记载着教会成员家庭地址的卡片。
拥有这张卡，可以进入居民限定区域","Items.json,25,description"
居民卡,"Items.json,25,name"
没有这个就很难调整事件。,"Items.json,26,description"
用于调试用途（人鱼章节）,"Items.json,26,name"
液体状的药物。顾名思义，可以在紧急情况下提供一些帮助！,"Items.json,28,description"
抗发情药,"Items.json,28,name"
"虽然使用次数有限，但它可以让你不再被其他事物分散注意力。
在需要集中注意力的时候非常方便。","Items.json,29,description"
集中注意,"Items.json,29,name"
"被人为磨碎的植物。
如果与其他物质混合，可能可以用来制造药品。","Items.json,30,description"
被磨碎的植物,"Items.json,30,name"
能让植物枯萎的药物。,"Items.json,32,description"
除草剂,"Items.json,32,name"
据说这颗宝石可以增强持有者的魔力。,"Items.json,33,description"
水晶球,"Items.json,33,name"
"匕首的刀身是用魔力制造的。
如果将其出售的话，可能会卖得非常昂贵。","Items.json,35,description"
魔力短刀,"Items.json,35,name"
"美味的！最棒的！顾名思义,是妖狐的最爱。
要好好珍惜。","Items.json,36,description"
油豆腐,"Items.json,36,name"
"由龙女准备的宝藏。
也不知道宝藏究竟是什么。","Items.json,38,description"
龙女的宝藏,"Items.json,38,name"
"传送到入口。
用于调试哈比章节的物品。","Items.json,39,description"
入口传送,"Items.json,39,name"
我宝贵的新生命。,"Items.json,41,description"
蛋,"Items.json,41,name"
"冒险家使用的宿屋卡，用于进入居住区。
仅当天有效。","Items.json,43,description"
居住区入场卡,"Items.json,43,name"
"传送到居住区宿屋入口前。
（单程票）","Items.json,44,description"
移动,"Items.json,44,name"
"做成心形的钥匙。
形状让人想起那只魔物娘的尾巴。","Items.json,46,description"
心形钥匙,"Items.json,46,name"
"店长交给你的木制盒子。
也不知道里面装了什么。","Items.json,48,description"
盒子,"Items.json,48,name"
