黑哈比B,"Map193.json,events,1,name"
黑哈比,"Map193.json,events,1,pages,0,list,1,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,0,list,4,parameters,0"
「（看向这边，应该没问题吧，感觉不到敌意）」,"Map193.json,events,1,pages,0,list,5,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,20,parameters,0"
「呜啊……！」,"Map193.json,events,1,pages,1,list,21,parameters,0"
被黑色哈比鸟缠住，想要逃跑——。,"Map193.json,events,1,pages,1,list,23,parameters,0"
但被它锐利的双脚踢飞了。,"Map193.json,events,1,pages,1,list,24,parameters,0"
\C[18]用\C[0]手臂\C[18]翻滚以避开,"Map193.json,events,1,pages,1,list,26,parameters,0"
立刻站起来，再次试图逃跑。\!,"Map193.json,events,1,pages,1,list,27,parameters,0"
但是，用\C[18]翅膀\C[0]无法做出正常的翻滚。,"Map193.json,events,1,pages,1,list,28,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,30,parameters,0"
「糟了……！」,"Map193.json,events,1,pages,1,list,31,parameters,0"
明明已经做出了翻滚，却无情地倒在草地上，,"Map193.json,events,1,pages,1,list,33,parameters,0"
自己的\C[18]手臂\C[0]弯曲到了人类不可能的角度。,"Map193.json,events,1,pages,1,list,34,parameters,0"
然而，奇怪的是没有感到疼痛。,"Map193.json,events,1,pages,1,list,35,parameters,0"
当然，人类的手臂和翅膀的关节完全不同。,"Map193.json,events,1,pages,1,list,36,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,38,parameters,0"
「（因为身体和平时不一样……！）」,"Map193.json,events,1,pages,1,list,39,parameters,0"
被击飞的同时，利用手臂和腿做出翻滚动作,"Map193.json,events,1,pages,1,list,41,parameters,0"
迅速地站起来逃跑。\!,"Map193.json,events,1,pages,1,list,42,parameters,0"
但是这个动作完全无法进行。,"Map193.json,events,1,pages,1,list,43,parameters,0"
拥有关节的双腿，使用起来完全不同。,"Map193.json,events,1,pages,1,list,44,parameters,0"
如果是哈比的话，应该可以飞起来吧。,"Map193.json,events,1,pages,1,list,46,parameters,0"
在她慌乱之际，刚翻过身——。,"Map193.json,events,1,pages,1,list,47,parameters,0"
黑色哈比,"Map193.json,events,1,pages,1,list,49,parameters,0"
与黑色哈比『捕捉到猎物』的眼神,"Map193.json,events,1,pages,1,list,53,parameters,0"
对上了……。,"Map193.json,events,1,pages,1,list,54,parameters,0"
感到一阵寒意。\!,"Map193.json,events,1,pages,1,list,58,parameters,0"
脑海中浮现出变成这个样子时考虑过的最糟糕的结局。,"Map193.json,events,1,pages,1,list,59,parameters,0"
就像在入口处看到的那只白色哈比一样——。,"Map193.json,events,1,pages,1,list,60,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,63,parameters,0"
「不、不要……！」,"Map193.json,events,1,pages,1,list,64,parameters,0"
已经无法保持冷静思考。,"Map193.json,events,1,pages,1,list,66,parameters,0"
无论什么形状都可以。无论多么丢脸也可以。,"Map193.json,events,1,pages,1,list,67,parameters,0"
只要能逃脱袭击……！,"Map193.json,events,1,pages,1,list,68,parameters,0"
趴在地上，试图匍匐前进逃跑。,"Map193.json,events,1,pages,1,list,69,parameters,0"
……但是，身体却无法前进。\!,"Map193.json,events,1,pages,1,list,71,parameters,0"
用那对翅膀，那双腿是无法匍匐前进的。,"Map193.json,events,1,pages,1,list,72,parameters,0"
专门用来飞行的翅膀显然不适合这样的动作。,"Map193.json,events,1,pages,1,list,73,parameters,0"
……连这样的思考余裕，现在的她都没有。,"Map193.json,events,1,pages,1,list,74,parameters,0"
坚硬而锋利的爪子紧紧抓住她的下半身。,"Map193.json,events,1,pages,1,list,77,parameters,0"
触感陌生而粗糙的鸟脚皮肤。,"Map193.json,events,1,pages,1,list,78,parameters,0"
不伤害她，同时又调整力量使她无法移动,"Map193.json,events,1,pages,1,list,79,parameters,0"
完全被钩爪所束缚。,"Map193.json,events,1,pages,1,list,80,parameters,0"
她拼命挣扎着，全身动作不雅。,"Map193.json,events,1,pages,1,list,82,parameters,0"
尽管试图动用自己的爪子抵抗，,"Map193.json,events,1,pages,1,list,83,parameters,0"
但完全没有任何反应。,"Map193.json,events,1,pages,1,list,84,parameters,0"
她已经成为了砧板上的鲤鱼。,"Map193.json,events,1,pages,1,list,85,parameters,0"
黑色哈比发出喘息声。,"Map193.json,events,1,pages,1,list,94,parameters,0"
她试图将某物顶向她的那个地方，,"Map193.json,events,1,pages,1,list,95,parameters,0"
尽管无法看到黑色哈比的身影，,"Map193.json,events,1,pages,1,list,96,parameters,0"
但我已经理解她想做什么了。,"Map193.json,events,1,pages,1,list,97,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,99,parameters,0"
「来人救救我……\.\.\.\.不要……！」,"Map193.json,events,1,pages,1,list,100,parameters,0"
恐惧和悲惨让眼泪涌出眼眶。,"Map193.json,events,1,pages,1,list,102,parameters,0"
她的胸腔被压迫，呼吸困难。,"Map193.json,events,1,pages,1,list,103,parameters,0"
两个身体紧密贴合，某物碰触到她的下半身,"Map193.json,events,1,pages,1,list,104,parameters,0"
\.\.\.下一刻――。,"Map193.json,events,1,pages,1,list,105,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,123,parameters,0"
「呜――\.\.\.\.\.啊啊啊啊啊啊！！！」,"Map193.json,events,1,pages,1,list,124,parameters,0"
当我昏迷倒在地上，仰面朝天时,"Map193.json,events,1,pages,1,list,133,parameters,0"
感觉到了某种沉重的东西。,"Map193.json,events,1,pages,1,list,134,parameters,0"
……这是什么样的重量呢。……女性的胸部重量？,"Map193.json,events,1,pages,1,list,135,parameters,0"
啊啊……对了。,"Map193.json,events,1,pages,1,list,137,parameters,0"
还记得那个让我看不见正下方的巨大东西。,"Map193.json,events,1,pages,1,list,138,parameters,0"
那么，这么重而且感到窒息更是理所当然。,"Map193.json,events,1,pages,1,list,139,parameters,0"
慢慢地……我起身了。,"Map193.json,events,1,pages,1,list,141,parameters,0"
……？……奇怪，太奇怪了。,"Map193.json,events,1,pages,1,list,142,parameters,0"
那个沉重的东西一直贴在肚子上。,"Map193.json,events,1,pages,1,list,143,parameters,0"
不对……,"Map193.json,events,1,pages,1,list,144,parameters,0"
C[18]肚子里有异物――。,"Map193.json,events,1,pages,1,list,146,parameters,0"
C[27]清彦,"Map193.json,events,1,pages,1,list,156,parameters,0"
「――诶？」,"Map193.json,events,1,pages,1,list,157,parameters,0"
……肚子鼓胀得很大。\!,"Map193.json,events,1,pages,1,list,159,parameters,0"
这不是因为发胖。,"Map193.json,events,1,pages,1,list,160,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,162,parameters,0"
「竟然……会是这样」,"Map193.json,events,1,pages,1,list,163,parameters,0"
用习惯的双手触摸着自己鼓胀起来的那个东西。,"Map193.json,events,1,pages,1,list,165,parameters,0"
但是，能够触碰到的只有那柔软的翅膀，,"Map193.json,events,1,pages,1,list,166,parameters,0"
适合飞翔，却完全不适合触摸任何东西。,"Map193.json,events,1,pages,1,list,167,parameters,0"
……即使是那样的翅膀，也能感受到肚子的\C[18]坚硬\C[0]。,"Map193.json,events,1,pages,1,list,169,parameters,0"
自己那鼓胀的东西——。,"Map193.json,events,1,pages,1,list,170,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,173,parameters,0"
「蛋……\.\.\.果」,"Map193.json,events,1,pages,1,list,174,parameters,0"
发生了最糟糕的事情。,"Map193.json,events,1,pages,1,list,176,parameters,0"
被那只黑色哈比一方面地袭击，,"Map193.json,events,1,pages,1,list,177,parameters,0"
然后……突然发现自己背负着新的生命，,"Map193.json,events,1,pages,1,list,178,parameters,0"
走上了从未想过的\C[18]母亲之路。,"Map193.json,events,1,pages,1,list,179,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,182,parameters,0"
「必须想办法……\.\.\n对了，回城里去教堂，,"Map193.json,events,1,pages,1,list,183,parameters,0"
或许能得到解决的方法」,"Map193.json,events,1,pages,1,list,184,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,188,parameters,0"
「必须想办法……\.\.\n对了，城里好像有个教堂的样子，,"Map193.json,events,1,pages,1,list,189,parameters,0"
或许能找到解决的方法」,"Map193.json,events,1,pages,1,list,190,parameters,0"
但是成长得太快了。,"Map193.json,events,1,pages,1,list,194,parameters,0"
即使是被强迫怀孕，也是异常的速度。,"Map193.json,events,1,pages,1,list,195,parameters,0"
如果继续膨胀下去——。,"Map193.json,events,1,pages,1,list,196,parameters,0"
蛋微微颤动了一下。,"Map193.json,events,1,pages,1,list,198,parameters,0"
在身体内成长，新的生命正在孕育中。,"Map193.json,events,1,pages,1,list,199,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,205,parameters,0"
「啊――♡」,"Map193.json,events,1,pages,1,list,206,parameters,0"
一种温暖从内心涌出。\.\.\n先生这个孩子，然后温暖蛋……。,"Map193.json,events,1,pages,1,list,211,parameters,0"
一定要健康地出生。,"Map193.json,events,1,pages,1,list,212,parameters,0"
然后，然后……。,"Map193.json,events,1,pages,1,list,214,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,218,parameters,0"
「刚才的是……」,"Map193.json,events,1,pages,1,list,219,parameters,0"
瞬间，意识到自己成为了\C[18]一匹母亲\C[0]。,"Map193.json,events,1,pages,1,list,221,parameters,0"
明明感受到了那么大的恐惧，被黑色哈比搞得一团糟，,"Map193.json,events,1,pages,1,list,222,parameters,0"
却完全从脑海中抹去了。,"Map193.json,events,1,pages,1,list,223,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,1,list,226,parameters,0"
「教堂……治好」,"Map193.json,events,1,pages,1,list,227,parameters,0"
如果有时间考虑这些，就必须赶紧行动。,"Map193.json,events,1,pages,1,list,231,parameters,0"
虽然感受到了肚子的重量，身体却能飞翔。,"Map193.json,events,1,pages,1,list,232,parameters,0"
慢慢地扇动翅膀……她飞了起来。,"Map193.json,events,1,pages,1,list,233,parameters,0"
朝着城里的教堂——。\!希望能够到达。,"Map193.json,events,1,pages,1,list,234,parameters,0"
黑色哈比看着她的肚子，露出满意的表情。,"Map193.json,events,1,pages,3,list,1,parameters,0"
\C[27]清彦,"Map193.json,events,1,pages,3,list,3,parameters,0"
「呜呜……可恶……！」,"Map193.json,events,1,pages,3,list,4,parameters,0"
虽然很懊恼，但是似乎什么都做不了。,"Map193.json,events,1,pages,3,list,6,parameters,0"
用这样的肚子无法自由行动，,"Map193.json,events,1,pages,3,list,7,parameters,0"
也不知为何没有攻击的欲望。,"Map193.json,events,1,pages,3,list,8,parameters,0"
黑色哈比似乎在示意她去深处。,"Map193.json,events,1,pages,4,list,1,parameters,0"
