可疑的男人,"Map105.json,events,1,name"
清彦,"Map105.json,events,2,pages,0,list,4,parameters,0"
「这……这是」,"Map105.json,events,2,pages,0,list,5,parameters,0"
男,"Map105.json,events,2,pages,0,list,24,parameters,0"
「物与物合体的术式。,"Map105.json,events,2,pages,0,list,25,parameters,0"
这就是产生魔物娘的元凶，毫无疑问」,"Map105.json,events,2,pages,0,list,26,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,30,parameters,0"
「怎么样？」,"Map105.json,events,2,pages,0,list,31,parameters,0"
男,"Map105.json,events,2,pages,0,list,33,parameters,0"
「这股魔力……是那个店长的。,"Map105.json,events,2,pages,0,list,34,parameters,0"
好，抓住了证据。\!,"Map105.json,events,2,pages,0,list,35,parameters,0"
立刻用传送魔法逃走……\^,"Map105.json,events,2,pages,0,list,36,parameters,0"
「别想逃掉」,"Map105.json,events,2,pages,0,list,40,parameters,0"
男,"Map105.json,events,2,pages,0,list,51,parameters,0"
「咕……！」,"Map105.json,events,2,pages,0,list,52,parameters,0"
突然出现的女性迅速摆出剑的姿势。,"Map105.json,events,2,pages,0,list,60,parameters,0"
从她的眼神可以看出。,"Map105.json,events,2,pages,0,list,61,parameters,0"
『被发现了没办法』这种犯罪者的目光。,"Map105.json,events,2,pages,0,list,62,parameters,0"
男,"Map105.json,events,2,pages,0,list,65,parameters,0"
「逃脱魔――。,"Map105.json,events,2,pages,0,list,66,parameters,0"
店长,"Map105.json,events,2,pages,0,list,68,parameters,0"
「太晚了」,"Map105.json,events,2,pages,0,list,69,parameters,0"
男,"Map105.json,events,2,pages,0,list,85,parameters,0"
「呜……！」,"Map105.json,events,2,pages,0,list,86,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,91,parameters,0"
「切……！来吧！」,"Map105.json,events,2,pages,0,list,92,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,100,parameters,0"
「咕……！,"Map105.json,events,2,pages,0,list,101,parameters,0"
（物理防御魔法吗？那么！）」,"Map105.json,events,2,pages,0,list,102,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,109,parameters,0"
「火魔法！」,"Map105.json,events,2,pages,0,list,110,parameters,0"
有物理防御魔法和魔法防御魔法两种。,"Map105.json,events,2,pages,0,list,114,parameters,0"
如果展开其中一种，就无法展开另一种。,"Map105.json,events,2,pages,0,list,115,parameters,0"
所以对这个火魔法有些感觉！,"Map105.json,events,2,pages,0,list,116,parameters,0"
\!但是――。,"Map105.json,events,2,pages,0,list,117,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,121,parameters,0"
「（笨蛋……没起作用吗！？）」,"Map105.json,events,2,pages,0,list,122,parameters,0"
店长,"Map105.json,events,2,pages,0,list,124,parameters,0"
「瞄准得不错，可惜啊……」,"Map105.json,events,2,pages,0,list,125,parameters,0"
清彦,"Map105.json,events,2,pages,0,list,140,parameters,0"
「哈哈……！」,"Map105.json,events,2,pages,0,list,141,parameters,0"
就像男人一样，他也被击飞了。,"Map105.json,events,2,pages,0,list,143,parameters,0"
如果穿着盔甲，应该能够抵挡一定的冲击。,"Map105.json,events,2,pages,0,list,144,parameters,0"
但是……对他的全身来说，这些都无关紧要，冲击感传遍了他的身体。,"Map105.json,events,2,pages,0,list,145,parameters,0"
意识迅速远离。,"Map105.json,events,2,pages,0,list,147,parameters,0"
如果不醒来……那个女人会对他做些什么。\!,"Map105.json,events,2,pages,0,list,148,parameters,0"
他努力想要站起来……。,"Map105.json,events,2,pages,0,list,149,parameters,0"
他的意识消失在黑暗中。,"Map105.json,events,2,pages,0,list,150,parameters,0"
要保存到这个进度吗？,"Map105.json,events,2,pages,0,list,153,parameters,0"
是,"Map105.json,events,2,pages,0,list,154,parameters,0,0"
否,"Map105.json,events,2,pages,0,list,154,parameters,0,1"
是,"Map105.json,events,2,pages,0,list,155,parameters,1"
否,"Map105.json,events,2,pages,0,list,158,parameters,1"
店长,"Map105.json,events,3,name"
