店长,"Map255.json,events,1,name"
身体越来越轻。,"Map255.json,events,2,pages,0,list,4,parameters,0"
无论遭受什么冲击，意识和身体都不再晃动。,"Map255.json,events,2,pages,0,list,5,parameters,0"
代替的是……视线渐渐变低了吗？,"Map255.json,events,2,pages,0,list,6,parameters,0"
店长,"Map255.json,events,2,pages,0,list,10,parameters,0"
「……呼」,"Map255.json,events,2,pages,0,list,11,parameters,0"
店长靠在肩膀上喘息。,"Map255.json,events,2,pages,0,list,13,parameters,0"
看起来很累,"Map255.json,events,2,pages,0,list,14,parameters,0"
也难怪，使用这么多魔法是不可能的。,"Map255.json,events,2,pages,0,list,15,parameters,0"
清彦,"Map255.json,events,2,pages,0,list,17,parameters,0"
「（\C[27]真丢脸呢～。\!\C[0],"Map255.json,events,2,pages,0,list,18,parameters,0"
现在的思绪是什么，简直就像我在淫乱――。,"Map255.json,events,2,pages,0,list,19,parameters,0"
在思考的过程中,"Map255.json,events,2,pages,0,list,25,parameters,0"
他的身体发出咯吱咯吱的声音。,"Map255.json,events,2,pages,0,list,26,parameters,0"
慢慢地……很慢地，他的身体缩小了。,"Map255.json,events,2,pages,0,list,27,parameters,0"
不对……与其说是缩小,"Map255.json,events,2,pages,0,list,31,parameters,0"
不如说是急剧年轻化，更准确。,"Map255.json,events,2,pages,0,list,32,parameters,0"
手臂变细了，腿也变细了，腰也变细了。,"Map255.json,events,2,pages,0,list,34,parameters,0"
锻炼出来的肌肉急剧衰退，变成了脂肪。,"Map255.json,events,2,pages,0,list,35,parameters,0"
变成了女性特有的松软的东西。,"Map255.json,events,2,pages,0,list,36,parameters,0"
感觉视线降低的速度加快了。,"Map255.json,events,2,pages,0,list,38,parameters,0"
握着的驱魔之剑变轻了,"Map255.json,events,2,pages,0,list,39,parameters,0"
但握起来却变得困难。到底发生了什么？,"Map255.json,events,2,pages,0,list,40,parameters,0"
虽然想要思考……但一旦大意，世界就会毁灭。,"Map255.json,events,2,pages,0,list,41,parameters,0"
所以，他没有时间去检查,"Map255.json,events,2,pages,0,list,45,parameters,0"
自己身体的不适感。,"Map255.json,events,2,pages,0,list,46,parameters,0"
店长,"Map255.json,events,2,pages,0,list,48,parameters,0"
「……最后了」,"Map255.json,events,2,pages,0,list,49,parameters,0"
最后。,"Map255.json,events,2,pages,0,list,51,parameters,0"
\!一切都结束了。,"Map255.json,events,2,pages,0,list,52,parameters,0"
淫魔果然消失了吗？,"Map255.json,events,2,pages,0,list,53,parameters,0"
不……如果不让它消失，就会麻烦。,"Map255.json,events,2,pages,0,list,54,parameters,0"
清彦,"Map255.json,events,2,pages,0,list,60,parameters,0"
「呃……！？」,"Map255.json,events,2,pages,0,list,61,parameters,0"
准备好的破魔剑碎成了粉末。,"Map255.json,events,2,pages,0,list,63,parameters,0"
就像玻璃破碎一样，碎成了小块。,"Map255.json,events,2,pages,0,list,64,parameters,0"
店长,"Map255.json,events,2,pages,0,list,70,parameters,0"
