猫耳娘,"Map048.json,events,2,name"
女性店员,"Map048.json,events,2,pages,0,list,1,parameters,0"
「呜……为什么我要遭遇这种事」,"Map048.json,events,2,pages,0,list,2,parameters,0"
店长,"Map048.json,events,3,name"
店长,"Map048.json,events,4,pages,0,list,1,parameters,0"
「你好，我们店也提供午餐。,"Map048.json,events,4,pages,0,list,2,parameters,0"
……你在关注店员吗？,"Map048.json,events,4,pages,0,list,3,parameters,0"
嗯，有各种各样的原因呢，是的」,"Map048.json,events,4,pages,0,list,4,parameters,0"
清彦,"Map048.json,events,4,pages,0,list,6,parameters,0"
「（最好不要深入询问了）」,"Map048.json,events,4,pages,0,list,7,parameters,0"
店长,"Map048.json,events,5,pages,0,list,8,parameters,0"
「好了清彦，给一号桌上的客人端午餐」,"Map048.json,events,5,pages,0,list,9,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,0,list,14,parameters,0"
「好的」,"Map048.json,events,5,pages,0,list,15,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,0,list,36,parameters,0"
「饭做好了，请慢用」,"Map048.json,events,5,pages,0,list,37,parameters,0"
男,"Map048.json,events,5,pages,0,list,46,parameters,0"
「谢谢你，清彦」,"Map048.json,events,5,pages,0,list,47,parameters,0"
\C[27]清彦,"Map048.json,events,5,pages,0,list,52,parameters,0"
「啊，谢谢。,"Map048.json,events,5,pages,0,list,53,parameters,0"
请慢用」,"Map048.json,events,5,pages,0,list,54,parameters,0"
不习惯。\!,"Map048.json,events,5,pages,0,list,58,parameters,0"
被称为『清彦』还可以接受。,"Map048.json,events,5,pages,0,list,59,parameters,0"
\!但是，无法习惯别人盯着自己的身体,"Map048.json,events,5,pages,0,list,60,parameters,0"
全身起鸡皮疙瘩。,"Map048.json,events,5,pages,0,list,61,parameters,0"
变成这个身体，在这里工作已经一周了。,"Map048.json,events,5,pages,0,list,81,parameters,0"
虽然店长和同事们说『很快就会习惯』。,"Map048.json,events,5,pages,0,list,82,parameters,0"
\!习惯。那就意味着放弃回去的可能性？,"Map048.json,events,5,pages,0,list,83,parameters,0"
我在思考。,"Map048.json,events,5,pages,0,list,84,parameters,0"
无法回去。教堂的人这样说。,"Map048.json,events,5,pages,0,list,86,parameters,0"
但是我不想放弃，不想放弃。,"Map048.json,events,5,pages,0,list,87,parameters,0"
筹集资金……再次乘船旅行,"Map048.json,events,5,pages,0,list,88,parameters,0"
一定有办法回去。,"Map048.json,events,5,pages,0,list,89,parameters,0"
所以现在首先要存钱。,"Map048.json,events,5,pages,0,list,92,parameters,0"
