"清彦从刚出道时就使用的剑。
保养良好的物品。","Weapons.json,1,description"
最喜欢的剑,"Weapons.json,1,name"
"一把保存完好的剑。
银武器对吸血鬼很有效。","Weapons.json,2,description"
银剑,"Weapons.json,2,name"
甘蔗,"Weapons.json,3,name"
弓,"Weapons.json,4,name"
"可以自由操纵来捕捉敌人的机关。
现在好像还不能完成大部分的功能。","Weapons.json,6,description"
触手,"Weapons.json,6,name"
"可以自由操纵来捕捉敌人的机关。
还可以执行一些技巧，例如生成和飞行种子。","Weapons.json,7,description"
触手,"Weapons.json,7,name"
"清彦从刚出道时就使用的剑。
然而，现在想要举起来却是困难重重。","Weapons.json,8,description"
最喜欢的剑,"Weapons.json,8,name"
"爪子很软。毛发蓬松。是真正的猫爪。
这爪子很锋利，可以划伤和破坏东西。","Weapons.json,10,description"
猫爪,"Weapons.json,10,name"
"看起来就像是妖狐的爪子，锋利无比。
她的杀伤力比其他魔女要低，但也足够了。","Weapons.json,12,description"
狐爪,"Weapons.json,12,name"
"锋利的爪子，可以切开岩石和钢铁。
这可不是和其他魔物娘相比的。","Weapons.json,13,description"
龙爪,"Weapons.json,13,name"
双腿上有爪子，可用于栖息在树上，有时也用于攻击。,"Weapons.json,15,description"
爪,"Weapons.json,15,name"
"据说可以消灭“恶魔”的剑。
它偶尔会发出红光，仿佛对清彦的魔力做出了反应。","Weapons.json,17,description"
驱魔之剑,"Weapons.json,17,name"
"有时用于攻击，有时用于防御。
象征着恶魔的淫秽尾巴。","Weapons.json,19,description"
恶魔的尾巴,"Weapons.json,19,name"
