"键盘输入接受
","CommonEvents.json,1,name"
"挥剑
","CommonEvents.json,2,name"
"if(targetID != 0 && ~$dataMap.events[targetID].note.indexOf(""[対象者]"")){","CommonEvents.json,3,list,3,parameters,0"
"获取目标
","CommonEvents.json,3,name"
"主角无敌
","CommonEvents.json,4,name"
"重置
","CommonEvents.json,5,name"
使用“夜视”吗？,"CommonEvents.json,8,list,2,parameters,0"
"是
","CommonEvents.json,8,list,3,parameters,0,0"
"否
","CommonEvents.json,8,list,3,parameters,0,1"
"是
","CommonEvents.json,8,list,4,parameters,1"
"否
","CommonEvents.json,8,list,75,parameters,1"
现在似乎没有效果。,"CommonEvents.json,8,list,81,parameters,0"
"夜视标志
","CommonEvents.json,8,name"
"释放猫娘的囚牢
","CommonEvents.json,10,name"
清彦,"CommonEvents.json,15,list,4,parameters,0"
「这里是备忘录的地方吗？,"CommonEvents.json,15,list,5,parameters,0"
使魔吗……我应该按他说的去做。」,"CommonEvents.json,15,list,6,parameters,0"
男,"CommonEvents.json,15,list,10,parameters,0"
「方法很简单。,"CommonEvents.json,15,list,11,parameters,0"
你只要和猫娘对话就可以了。。」,"CommonEvents.json,15,list,12,parameters,0"
清彦,"CommonEvents.json,15,list,14,parameters,0"
「对话……？」,"CommonEvents.json,15,list,15,parameters,0"
男,"CommonEvents.json,15,list,17,parameters,0"
『使用这个魔法道具后,"CommonEvents.json,15,list,18,parameters,0"
猫娘就可以暂时说话了』,"CommonEvents.json,15,list,19,parameters,0"
男,"CommonEvents.json,15,list,21,parameters,0"
『那么，要不要成为我的使魔呢？和他们谈谈。,"CommonEvents.json,15,list,22,parameters,0"
他们都向往人类世界，而且最重要的是，他们都是白痴。,"CommonEvents.json,15,list,23,parameters,0"
可以二话不说就签订契约哦』,"CommonEvents.json,15,list,24,parameters,0"
男,"CommonEvents.json,15,list,26,parameters,0"
『如果猫娘同意的话，使用这个契约魔法就结束了。,"CommonEvents.json,15,list,27,parameters,0"
然后你也可以拥有使魔，就是这样』,"CommonEvents.json,15,list,28,parameters,0"
